2021-01-29 16:01:50.222 - INFO - 9783 - azureml.train.automl.automlconfig._start_execution:153 - No compute target or run config provided. Running local legacy run.
2021-01-29 16:01:50.227 - INFO - 9783 - azureml.train.automl.automlconfig._start_execution:196 - Submitting local legacy run.
2021-01-29 16:01:50.227 - INFO - 9783 - azureml.automl.core.package_utilities._log_activity:54 - ActivityStarted: PackagesCheck
2021-01-29 16:01:50.231 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: applicationinsights, Version: 0.11.9 found.
2021-01-29 16:01:50.232 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.20.0 found.
2021-01-29 16:01:50.232 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: msrest, Version: 0.6.19 found.
2021-01-29 16:01:50.243 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: msrestazure, Version: 0.6.4 found.
2021-01-29 16:01:50.243 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: requests, Version: 2.25.1 found.
2021-01-29 16:01:50.244 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-telemetry, Version: 1.20.0 found.
2021-01-29 16:01:50.244 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.20.0 found.
2021-01-29 16:01:50.244 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-automl-core, Version: 1.20.0 found.
2021-01-29 16:01:50.244 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.20.0 found.
2021-01-29 16:01:50.257 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-train-core, Version: 1.20.0 found.
2021-01-29 16:01:50.257 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-train-automl-client, Version: 1.20.0 found.
2021-01-29 16:01:50.257 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-pipeline-core, Version: 1.20.0 found.
2021-01-29 16:01:50.272 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: pmdarima, Version: 1.1.1 found.
2021-01-29 16:01:50.272 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnx, Version: 1.7.0 found.
2021-01-29 16:01:50.272 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: pandas, Version: 0.25.3 found.
2021-01-29 16:01:50.273 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-automl-core, Version: 1.20.0 found.
2021-01-29 16:01:50.273 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: numpy, Version: 1.18.5 found.
2021-01-29 16:01:50.273 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: keras2onnx, Version: 1.6.0 found.
2021-01-29 16:01:50.274 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: scikit-learn, Version: 0.22.2.post1 found.
2021-01-29 16:01:50.274 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxruntime, Version: 1.3.0 found.
2021-01-29 16:01:50.274 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: scipy, Version: 1.5.2 found.
2021-01-29 16:01:50.275 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: boto3, Version: 1.15.18 found.
2021-01-29 16:01:50.275 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: gensim, Version: 3.8.3 found.
2021-01-29 16:01:50.275 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: dill, Version: 0.3.3 found.
2021-01-29 16:01:50.276 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: joblib, Version: 0.14.1 found.
2021-01-29 16:01:50.276 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: sklearn-pandas, Version: 1.7.0 found.
2021-01-29 16:01:50.276 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.20.0 found.
2021-01-29 16:01:50.277 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: statsmodels, Version: 0.10.2 found.
2021-01-29 16:01:50.277 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxconverter-common, Version: 1.6.0 found.
2021-01-29 16:01:50.278 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: psutil, Version: 5.8.0 found.
2021-01-29 16:01:50.278 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxmltools, Version: 1.4.1 found.
2021-01-29 16:01:50.278 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: smart-open, Version: 1.9.0 found.
2021-01-29 16:01:50.279 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: py-cpuinfo, Version: 5.0.0 found.
2021-01-29 16:01:50.279 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: nimbusml, Version: 1.8.0 found.
2021-01-29 16:01:50.279 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: skl2onnx, Version: 1.4.9 found.
2021-01-29 16:01:50.279 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: botocore, Version: 1.18.18 found.
2021-01-29 16:01:50.279 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: lightgbm, Version: 2.3.0 found.
2021-01-29 16:01:50.297 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.20.0 found.
2021-01-29 16:01:50.297 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-telemetry, Version: 1.20.0 found.
2021-01-29 16:01:50.297 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: ipywidgets, Version: 7.6.3 found.
2021-01-29 16:01:50.297 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.20.0 found.
2021-01-29 16:01:50.297 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-telemetry, Version: 1.20.0 found.
2021-01-29 16:01:50.297 - INFO - 9783 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-train-restclients-hyperdrive, Version: 1.20.0 found.
